iter	Passed	Remaining
0	0	84
1	1	76
2	2	73
3	2	67
4	3	65
5	4	64
6	4	64
7	5	64
8	6	63
9	6	62
10	7	62
11	8	61
12	9	61
13	9	60
14	10	60
15	11	59
16	11	58
17	12	57
18	13	56
19	13	55
20	14	55
21	15	54
22	16	53
23	16	53
24	17	52
25	18	51
26	18	50
27	19	50
28	20	49
29	20	48
30	21	47
31	22	47
32	22	46
33	23	45
34	24	45
35	25	44
36	25	43
37	26	43
38	27	42
39	27	41
40	28	41
41	28	39
42	29	39
43	30	38
44	30	37
45	31	37
46	32	36
47	33	35
48	33	35
49	34	34
50	35	33
51	35	33
52	36	32
53	37	32
54	38	31
55	38	30
56	39	29
57	40	29
58	41	28
59	41	27
60	42	27
61	43	26
62	44	25
63	44	25
64	45	24
65	46	23
66	47	23
67	47	22
68	48	21
69	49	21
70	49	20
71	50	19
72	51	19
73	52	18
74	53	17
75	53	16
76	54	16
77	55	15
78	55	14
79	56	14
80	57	13
81	57	12
82	58	12
83	59	11
84	60	10
85	60	9
86	61	9
87	62	8
88	62	7
89	63	7
90	64	6
91	65	5
92	65	4
93	66	4
94	67	3
95	67	2
96	68	2
97	69	1
98	69	0
99	70	0
