iter	Passed	Remaining
0	146	146746
1	150	74906
2	151	50485
3	153	38240
4	154	30825
5	156	25898
6	158	22470
7	159	19778
8	160	17659
9	161	15963
10	162	14584
11	163	13422
12	163	12426
13	164	11572
14	164	10831
15	165	10177
16	166	9599
17	166	9096
18	167	8641
19	167	8229
20	168	7859
21	169	7521
22	170	7233
23	171	6958
24	172	6730
25	173	6499
26	174	6275
27	174	6069
28	175	5877
29	176	5694
30	176	5528
31	177	5367
32	178	5218
33	178	5078
34	179	4948
35	180	4824
36	180	4703
37	181	4589
38	181	4483
39	182	4378
40	183	4281
41	183	4189
42	184	4104
43	186	4042
44	187	3973
45	187	3897
46	188	3822
47	189	3751
48	189	3683
49	190	3618
50	191	3556
51	191	3496
52	192	3437
53	192	3381
54	193	3326
55	194	3274
56	194	3221
57	195	3173
58	195	3125
59	196	3079
60	197	3035
61	197	2995
62	198	2956
63	199	2920
64	200	2888
65	201	2852
66	202	2817
67	203	2784
68	203	2752
69	204	2719
70	205	2686
71	205	2654
72	206	2623
73	207	2593
74	207	2565
75	208	2538
76	209	2510
77	210	2483
78	210	2456
79	211	2430
80	212	2405
81	212	2380
82	213	2353
83	213	2331
84	214	2313
85	216	2297
86	216	2276
87	217	2255
88	218	2235
89	219	2216
90	220	2198
91	220	2179
92	221	2161
93	222	2142
94	222	2123
95	223	2105
96	224	2087
97	224	2070
98	225	2052
99	226	2035
100	226	2019
101	227	2003
102	228	1988
103	229	1973
104	229	1959
105	230	1948
106	231	1934
107	232	1920
108	233	1906
109	233	1893
110	234	1878
111	235	1865
112	235	1852
113	236	1839
114	237	1826
115	237	1813
116	238	1799
117	239	1787
118	239	1774
119	240	1762
120	241	1751
121	241	1738
122	242	1727
123	242	1715
124	243	1705
125	244	1695
126	245	1685
127	246	1676
128	246	1666
129	247	1656
130	248	1646
131	248	1636
132	249	1625
133	250	1615
134	250	1606
135	251	1596
136	251	1586
137	252	1577
138	253	1568
139	253	1558
140	254	1550
141	254	1540
142	255	1531
143	256	1523
144	257	1515
145	257	1507
146	258	1498
147	259	1493
148	260	1486
149	261	1480
150	261	1472
151	262	1464
152	263	1457
153	264	1450
154	264	1442
155	265	1435
156	266	1428
157	266	1421
158	267	1414
159	268	1407
160	268	1398
161	269	1392
162	269	1385
163	270	1378
164	271	1371
165	271	1364
166	272	1358
167	272	1351
168	273	1345
169	274	1340
170	275	1337
171	276	1331
172	277	1325
173	277	1319
174	278	1312
175	279	1306
176	279	1300
177	280	1294
178	281	1289
179	281	1283
180	282	1278
181	283	1272
182	283	1267
183	284	1261
184	285	1256
185	285	1251
186	286	1245
187	287	1240
188	287	1234
189	288	1229
190	289	1226
191	290	1222
192	291	1219
193	292	1214
194	292	1209
195	293	1204
196	294	1199
197	294	1194
198	295	1189
199	296	1184
200	297	1180
201	297	1177
202	298	1173
203	299	1169
204	300	1164
205	300	1159
206	301	1155
207	302	1150
208	302	1146
209	303	1141
210	304	1139
211	305	1136
212	306	1132
213	307	1128
214	307	1124
215	308	1120
216	309	1115
217	309	1111
218	310	1107
219	311	1103
220	311	1099
221	312	1094
222	313	1090
223	313	1086
224	314	1082
225	314	1078
226	315	1074
227	316	1070
228	316	1066
229	317	1063
230	318	1059
231	318	1055
232	319	1052
233	320	1049
234	321	1046
235	322	1043
236	322	1039
237	323	1035
238	324	1032
239	324	1028
240	325	1025
241	326	1021
242	326	1017
243	327	1014
244	328	1010
245	328	1007
246	329	1004
247	329	1000
248	330	997
249	331	993
250	331	990
251	332	986
252	333	983
253	333	980
254	334	977
255	335	974
256	336	972
257	337	969
258	337	966
259	338	964
260	339	960
261	339	957
262	340	954
263	341	951
264	341	948
265	342	944
266	343	941
267	343	938
268	344	935
269	344	932
270	345	929
271	346	926
272	346	923
273	347	920
274	348	917
275	348	914
276	349	913
277	350	911
278	351	909
279	352	906
280	353	903
281	353	900
282	354	898
283	355	895
284	355	892
285	356	889
286	356	886
287	357	883
288	358	881
289	358	878
290	359	875
291	360	872
292	360	870
293	361	867
294	362	865
295	362	862
296	363	859
297	363	857
298	365	855
299	365	853
300	367	852
301	368	850
302	368	848
303	370	848
304	371	847
305	372	845
306	373	843
307	374	841
308	375	839
309	375	836
310	376	834
311	377	832
312	377	829
313	378	827
314	379	824
315	380	823
316	381	822
317	382	820
318	383	818
319	384	816
320	384	814
321	385	811
322	386	809
323	386	806
324	387	804
325	388	802
326	388	800
327	389	797
328	390	795
329	390	793
330	391	790
331	391	788
332	392	786
333	393	784
334	393	781
335	394	780
336	395	778
337	396	776
338	397	774
339	397	772
340	398	770
341	399	767
342	399	765
343	400	763
344	401	761
345	401	759
346	402	757
347	403	755
348	403	753
349	404	750
350	405	748
351	405	746
352	406	744
353	406	742
354	407	740
355	407	738
356	408	736
357	409	734
358	410	732
359	410	730
360	411	729
361	412	726
362	413	724
363	413	722
364	414	720
365	414	718
366	415	716
367	416	714
368	416	712
369	417	710
370	418	708
371	418	706
372	419	704
373	420	703
374	420	701
375	421	699
376	421	697
377	422	695
378	423	693
379	423	691
380	424	689
381	425	688
382	426	686
383	427	685
384	427	683
385	428	681
386	429	679
387	429	677
388	430	676
389	431	674
390	431	672
391	432	670
392	432	668
393	433	666
394	434	665
395	434	663
396	435	661
397	436	659
398	436	657
399	437	656
400	438	654
401	438	652
402	439	650
403	440	649
404	440	647
405	441	646
406	442	644
407	443	643
408	443	641
409	444	639
410	445	637
411	445	636
412	446	634
413	447	632
414	447	631
415	448	629
416	448	627
417	449	626
418	450	624
419	450	622
420	451	620
421	452	619
422	452	617
423	453	616
424	454	614
425	454	613
426	455	611
427	456	610
428	457	609
429	458	607
430	459	606
431	459	604
432	460	603
433	461	601
434	461	600
435	462	598
436	463	596
437	463	595
438	464	593
439	465	591
440	465	590
441	466	588
442	467	587
443	467	585
444	468	584
445	468	582
446	469	580
447	470	579
448	471	578
449	472	576
450	472	575
451	473	574
452	474	572
453	474	570
454	475	569
455	476	567
456	476	566
457	477	564
458	477	563
459	478	561
460	479	560
461	479	558
462	480	557
463	481	555
464	481	554
465	482	552
466	483	551
467	483	549
468	484	548
469	484	546
470	485	545
471	486	544
472	487	543
473	488	541
474	488	540
475	489	538
476	490	537
477	490	535
478	491	534
479	492	533
480	492	531
481	493	530
482	494	528
483	494	527
484	495	526
485	496	524
486	496	523
487	497	522
488	498	520
489	498	519
490	499	517
491	500	516
492	501	516
493	502	515
494	503	513
495	504	512
496	505	511
497	506	510
498	506	508
499	507	507
500	508	506
501	508	504
502	509	503
503	510	502
504	510	500
505	511	499
506	512	498
507	513	496
508	513	495
509	514	494
510	515	493
511	516	492
512	517	491
513	518	490
514	518	488
515	519	487
516	520	486
517	521	484
518	521	483
519	522	482
520	523	480
521	523	479
522	524	478
523	525	477
524	526	475
525	526	474
526	527	473
527	528	472
528	528	470
529	529	469
530	530	468
531	531	467
532	533	467
533	534	466
534	535	465
535	535	463
536	536	462
537	537	461
538	538	460
539	538	458
540	539	457
541	540	456
542	540	455
543	541	454
544	542	452
545	543	451
546	543	450
547	544	448
548	544	447
549	545	446
550	546	445
551	548	445
552	549	443
553	550	442
554	550	441
555	551	440
556	552	439
557	553	438
558	553	436
559	554	435
560	555	434
561	555	433
562	556	432
563	557	430
564	558	429
565	558	428
566	559	427
567	559	425
568	560	424
569	561	423
570	562	422
571	563	421
572	564	420
573	565	419
574	565	418
575	566	417
576	567	415
577	567	414
578	568	413
579	569	412
580	570	411
581	570	409
582	571	408
583	572	407
584	572	406
585	573	405
586	574	403
587	574	402
588	575	401
589	576	400
590	577	399
591	578	398
592	579	397
593	579	396
594	580	395
595	581	393
596	581	392
597	582	391
598	583	390
599	584	389
600	584	388
601	585	387
602	586	385
603	586	384
604	587	383
605	588	382
606	588	381
607	589	380
608	590	378
609	591	377
610	591	376
611	592	375
612	593	374
613	594	373
614	595	372
615	595	371
616	596	370
617	597	369
618	598	368
619	598	366
620	599	365
621	600	364
622	600	363
623	601	362
624	602	361
625	602	360
626	603	358
627	603	357
628	604	356
629	605	355
630	606	354
631	607	353
632	608	352
633	609	351
634	610	350
635	610	349
636	611	348
637	612	347
638	612	346
639	613	345
640	614	343
641	614	342
642	615	341
643	616	340
644	616	339
645	617	338
646	617	337
647	618	336
648	619	334
649	620	333
650	620	332
651	622	332
652	623	331
653	624	330
654	624	329
655	625	328
656	626	326
657	627	325
658	627	324
659	628	323
660	629	322
661	629	321
662	630	320
663	631	319
664	631	318
665	632	317
666	633	316
667	633	315
668	634	313
669	635	312
670	636	312
671	637	311
